[1788895933237] === ENGINE STARTUP ===
[1788895933237] Attempting WebSocket connection...
[1788895933238] WebSocket connection spawned successfully.
[1788895933238] Initializing Terminal UI...
[1788895933238] Background Reconciliation Task started. Awaiting stream...
[1788895933239] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895939540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939590] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939639] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939691] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939740] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939790] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939840] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939890] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939940] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939990] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940040] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940089] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940140] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940190] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940240] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940290] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940340] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940390] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940440] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940490] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940589] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940640] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940690] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940740] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940789] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940840] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940890] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940940] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895940991] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941040] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941091] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941140] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941191] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941239] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941291] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941340] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941390] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941441] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941490] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941591] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941640] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941690] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895941741] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
