[1788894931544] === ENGINE STARTUP ===
[1788894931544] Attempting WebSocket connection...
[1788894931544] WebSocket connection spawned successfully.
[1788894931544] Initializing Terminal UI...
[1788894931544] Background Reconciliation Task started. Awaiting stream...
[1788894937346] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937397] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937447] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937497] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937547] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937598] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937647] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937697] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937747] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937797] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937847] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937897] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937946] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894937997] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938048] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938097] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938147] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938197] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938247] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938297] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938347] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938396] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938447] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938496] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938547] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938597] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938647] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938697] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938747] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938797] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938846] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938897] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938947] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894938997] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894939047] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894939097] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
